region,pohlavie,typ_skupiny,skupina,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Bratislavský kraj (NUTS 2),Muži,vzdelanie,Základné a bez vzdelania,0.2,,,0.2,,1.3,1.6,0.2,0.5,0.3,0.9,0.6,1.1,1.0,1.1,1.6,1.1,1.1,2.0,2.1,1.0
Bratislavský kraj (NUTS 2),Ženy,vzdelanie,Základné a bez vzdelania,0.2,,0.1,0.4,,0.5,0.6,0.2,0.5,1.2,1.0,0.9,0.9,0.7,1.2,0.7,0.8,1.2,1.3,1.6,1.3
Bratislavský kraj (NUTS 2),Muži,vzdelanie,Nižšie stredné,1.4,2.0,2.3,0.8,1.7,1.2,1.0,3.1,2.7,2.6,2.5,2.6,3.4,3.0,3.1,4.0,4.0,1.6,2.5,2.3,2.7
Bratislavský kraj (NUTS 2),Ženy,vzdelanie,Nižšie stredné,0.4,0.2,0.4,0.2,0.3,1.1,0.9,0.5,0.3,1.2,1.3,1.4,1.4,1.3,1.3,2.3,1.5,1.5,1.5,1.7,2.0
Bratislavský kraj (NUTS 2),Muži,vzdelanie,Úplné stredné,2.1,1.2,2.2,2.3,1.5,1.9,1.4,2.3,4.2,1.6,3.9,4.5,4.0,4.6,5.0,4.7,3.9,3.2,1.6,2.4,2.4
Bratislavský kraj (NUTS 2),Ženy,vzdelanie,Úplné stredné,2.0,1.9,1.4,2.4,2.3,3.2,1.0,1.2,2.6,4.5,4.5,4.9,6.0,5.2,3.6,3.5,3.3,2.6,3.4,2.5,4.8
Bratislavský kraj (NUTS 2),Muži,vzdelanie,Vysokoškolské,1.7,1.8,1.0,0.8,1.2,0.5,0.6,1.2,1.2,2.1,2.0,2.2,2.5,1.2,2.2,2.5,1.0,0.7,0.3,0.7,1.3
Bratislavský kraj (NUTS 2),Ženy,vzdelanie,Vysokoškolské,2.0,2.1,1.7,1.7,2.1,2.3,1.3,1.5,2.7,4.1,3.2,2.9,2.3,2.1,1.6,1.8,0.8,0.8,1.6,1.0,1.5
Bratislavský kraj,Muži,vek,15-24,0.8,0.7,0.7,0.1,,0.5,0.6,0.3,1.1,1.5,1.3,1.6,2.3,1.9,1.9,2.2,2.1,1.1,1.3,1.3,2.0
Bratislavský kraj,Ženy,vek,15-24,0.1,,0.1,0.3,0.1,0.6,0.3,0.2,1.1,1.3,1.5,1.1,1.4,1.4,1.4,1.2,0.4,0.9,1.0,0.6,1.3
Bratislavský kraj,Muži,vek,25-34,1.1,1.8,1.8,2.2,1.9,1.9,2.0,2.3,2.4,1.5,2.9,4.1,2.6,2.8,4.5,3.9,2.5,2.0,1.3,1.5,1.6
Bratislavský kraj,Ženy,vek,25-34,0.8,1.0,1.3,1.3,0.8,0.7,0.3,0.7,1.7,2.8,1.9,3.0,2.9,2.0,1.6,1.4,2.2,1.5,2.2,1.4,3.2
Bratislavský kraj,Muži,vek,35-44,1.0,1.6,2.0,0.9,1.7,1.3,1.1,2.2,2.4,1.0,2.0,1.8,2.7,1.6,1.0,2.7,1.8,1.0,1.3,1.9,0.8
Bratislavský kraj,Ženy,vek,35-44,1.3,1.8,1.3,1.5,2.0,3.7,1.4,1.3,1.3,3.0,2.9,2.0,2.7,2.0,2.3,2.7,1.3,1.2,1.9,1.7,1.4
Bratislavský kraj,Muži,vek,45-54,1.6,0.6,0.8,0.8,0.4,0.8,0.5,1.2,2.0,1.3,1.6,1.2,2.1,1.7,1.9,2.5,2.5,1.7,1.6,2.2,2.1
Bratislavský kraj,Ženy,vek,45-54,1.0,0.3,0.5,1.1,1.3,1.0,0.4,0.2,1.4,2.0,1.6,1.9,1.9,2.1,1.4,1.9,1.5,1.5,1.9,2.4,2.0
Bratislavský kraj,Muži,vek,55+,0.9,0.2,0.3,,0.4,0.4,0.6,0.9,0.6,1.1,1.5,1.3,1.2,1.8,2.2,1.6,1.0,0.5,0.8,0.6,1.1
Bratislavský kraj,Ženy,vek,55+,1.4,1.0,0.5,0.5,0.6,1.1,1.4,1.0,0.7,1.9,2.1,2.1,1.6,1.8,1.0,1.0,1.0,0.9,0.6,0.8,1.7
Bratislavský kraj,Muži,vzdelanie,Základné a bez vzdelania,0.2,,,0.2,,1.3,1.6,0.2,0.5,0.3,0.9,0.6,1.1,1.0,1.1,1.6,1.1,1.1,2.0,2.1,1.0
Bratislavský kraj,Ženy,vzdelanie,Základné a bez vzdelania,0.2,,0.1,0.4,,0.5,0.6,0.2,0.5,1.2,1.0,0.9,0.9,0.7,1.2,0.7,0.8,1.2,1.3,1.6,1.3
Bratislavský kraj,Muži,vzdelanie,Nižšie stredné,1.4,2.0,2.3,0.8,1.7,1.2,1.0,3.1,2.7,2.6,2.5,2.6,3.4,3.0,3.1,4.0,4.0,1.6,2.5,2.3,2.7
Bratislavský kraj,Ženy,vzdelanie,Nižšie stredné,0.4,0.2,0.4,0.2,0.3,1.1,0.9,0.5,0.3,1.2,1.3,1.4,1.4,1.3,1.3,2.3,1.5,1.5,1.5,1.7,2.0
Bratislavský kraj,Muži,vzdelanie,Úplné stredné,2.1,1.2,2.2,2.3,1.5,1.9,1.4,2.3,4.2,1.6,3.9,4.5,4.0,4.6,5.0,4.7,3.9,3.2,1.6,2.4,2.4
Bratislavský kraj,Ženy,vzdelanie,Úplné stredné,2.0,1.9,1.4,2.4,2.3,3.2,1.0,1.2,2.6,4.5,4.5,4.9,6.0,5.2,3.6,3.5,3.3,2.6,3.4,2.5,4.8
Bratislavský kraj,Muži,vzdelanie,Vysokoškolské,1.7,1.8,1.0,0.8,1.2,0.5,0.6,1.2,1.2,2.1,2.0,2.2,2.5,1.2,2.2,2.5,1.0,0.7,0.3,0.7,1.3
Bratislavský kraj,Ženy,vzdelanie,Vysokoškolské,2.0,2.1,1.7,1.7,2.1,2.3,1.3,1.5,2.7,4.1,3.2,2.9,2.3,2.1,1.6,1.8,0.8,0.8,1.6,1.0,1.5
Západné Slovensko,Muži,vek,15-24,1.8,1.9,2.9,3.0,2.8,4.0,3.1,3.1,3.2,5.5,8.4,11.2,12.5,11.9,11.9,15.4,12.1,5.8,6.4,11.4,13.6
Západné Slovensko,Ženy,vek,15-24,1.5,2.5,0.9,2.6,2.6,2.4,3.0,1.9,3.3,5.6,6.4,7.3,7.8,6.1,7.3,11.1,7.9,5.8,6.5,10.3,10.4
Západné Slovensko,Muži,vek,25-34,3.5,5.1,5.8,6.8,7.2,5.8,6.2,6.8,9.0,13.9,12.7,18.0,19.1,17.0,16.2,21.9,15.1,9.5,10.9,11.1,14.1
Západné Slovensko,Ženy,vek,25-34,3.3,3.8,4.2,3.9,5.5,6.2,3.6,4.7,6.2,9.3,14.6,14.1,15.8,20.4,14.9,16.8,13.2,10.5,9.7,12.3,13.9
Západné Slovensko,Muži,vek,35-44,3.6,2.8,4.4,4.2,4.4,6.8,5.0,4.0,5.3,7.0,9.6,9.6,8.0,9.1,7.8,9.8,7.9,3.7,6.7,8.5,11.8
Západné Slovensko,Ženy,vek,35-44,4.4,3.6,6.1,5.5,6.7,5.7,4.1,5.0,6.3,10.6,10.9,11.4,12.1,11.2,11.1,12.3,10.7,8.8,8.7,9.1,13.5
Západné Slovensko,Muži,vek,45-54,4.2,2.3,3.2,3.4,3.0,2.8,3.0,4.0,5.1,4.4,7.6,10.4,9.9,9.1,9.1,10.1,7.8,5.2,7.8,9.6,14.1
Západné Slovensko,Ženy,vek,45-54,3.0,4.5,2.4,3.6,5.3,3.9,3.9,5.4,7.5,7.7,10.1,10.8,14.0,10.3,10.3,15.1,13.8,10.8,11.1,12.0,15.6
Západné Slovensko,Muži,vek,55+,1.2,1.9,1.7,1.8,2.0,2.7,2.5,1.7,2.7,4.7,4.9,5.2,5.2,5.2,5.5,4.8,2.9,1.6,2.8,5.3,6.4
Západné Slovensko,Ženy,vek,55+,3.7,1.8,1.8,3.1,4.4,3.2,3.1,2.9,3.4,5.1,6.5,5.4,5.2,5.6,5.2,4.3,3.2,2.3,2.2,2.1,2.1
Západné Slovensko,Muži,vzdelanie,Základné a bez vzdelania,2.4,0.7,2.2,2.8,2.2,1.2,3.5,4.1,4.0,3.3,6.8,9.6,8.2,8.2,6.2,5.5,6.2,3.9,6.1,7.1,10.7
Západné Slovensko,Ženy,vzdelanie,Základné a bez vzdelania,2.3,3.4,2.1,4.1,3.6,2.6,1.9,2.9,4.7,5.3,7.0,6.9,7.8,8.3,8.5,9.1,8.1,5.8,7.3,10.0,11.5
Západné Slovensko,Muži,vzdelanie,Nižšie stredné,6.1,6.6,7.8,6.8,7.8,7.8,8.0,6.3,10.0,17.7,19.7,26.3,26.3,27.0,28.4,33.5,22.9,13.3,19.6,27.3,33.8
Západné Slovensko,Ženy,vzdelanie,Nižšie stredné,3.6,2.4,2.6,5.0,3.9,4.4,5.7,6.7,8.1,11.5,16.2,16.4,18.7,21.2,22.1,26.5,20.4,15.7,15.5,17.6,19.6
Západné Slovensko,Muži,vzdelanie,Úplné stredné,4.8,5.7,6.7,6.5,7.4,9.7,6.4,7.2,9.3,11.0,11.4,14.4,16.7,13.7,13.6,19.4,14.0,6.6,7.2,10.4,13.5
