Pohlavie,Odvetvie,Rok,Hodnota
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2016,"1,1"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2017,"0,7"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2018,"1,4"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2019,"1,2"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2020,"1,7"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2021,"2,2"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2022,"1,1"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2023,"0,9"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2024,"0,7"
Muži,"E Dodávka vody, čistenie a odvod odpadových vôd, odpady a služby odstraňovania odpadov",2025,"0,6"
Muži,F Stavebníctvo,2008,"12,6"
Muži,F Stavebníctvo,2009,"20,3"
Muži,F Stavebníctvo,2010,"29,4"
Muži,F Stavebníctvo,2011,"28,9"
Muži,F Stavebníctvo,2012,"31,6"
Muži,F Stavebníctvo,2013,"31,4"
Muži,F Stavebníctvo,2014,"26,1"
Muži,F Stavebníctvo,2015,"21,7"
Muži,F Stavebníctvo,2016,"20,4"
Muži,F Stavebníctvo,2017,"15,0"
Muži,F Stavebníctvo,2018,"10,6"
Muži,F Stavebníctvo,2019,"9,0"
Muži,F Stavebníctvo,2020,"10,3"
Muži,F Stavebníctvo,2021,"13,0"
Muži,F Stavebníctvo,2022,"12,9"
Muži,F Stavebníctvo,2023,"9,6"
Muži,F Stavebníctvo,2024,"7,5"
Muži,F Stavebníctvo,2025,"8,6"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2008,"7,3"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2009,"8,4"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2010,"10,5"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2011,"12,4"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2012,"11,9"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2013,"13,2"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2014,"12,0"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2015,"10,0"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2016,"7,9"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2017,"8,4"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2018,"4,3"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2019,"4,5"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2020,"5,0"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2021,"6,3"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2022,"6,6"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2023,"4,6"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2024,"5,3"
Muži,G Veľkoobchod a maloobchod; oprava motorových vozidiel a motocyklov,2025,"5,1"
Muži,H Doprava a skladovanie,2008,"3,3"
Muži,H Doprava a skladovanie,2009,"7,0"
Muži,H Doprava a skladovanie,2010,"7,5"
Muži,H Doprava a skladovanie,2011,"7,1"
Muži,H Doprava a skladovanie,2012,"7,5"
Muži,H Doprava a skladovanie,2013,"6,6"
Muži,H Doprava a skladovanie,2014,"6,8"
Muži,H Doprava a skladovanie,2015,"5,1"
Muži,H Doprava a skladovanie,2016,"4,2"
Muži,H Doprava a skladovanie,2017,"3,4"
Muži,H Doprava a skladovanie,2018,"2,7"
Muži,H Doprava a skladovanie,2019,"2,8"
Muži,H Doprava a skladovanie,2020,"4,5"
Muži,H Doprava a skladovanie,2021,"3,9"
Muži,H Doprava a skladovanie,2022,"4,7"
Muži,H Doprava a skladovanie,2023,"3,4"
Muži,H Doprava a skladovanie,2024,"2,2"
Muži,H Doprava a skladovanie,2025,"3,6"
Muži,Hospodárstvo spolu,2008,"124,6"
Muži,Hospodárstvo spolu,2009,"170,8"
Muži,Hospodárstvo spolu,2010,"212,8"
Muži,Hospodárstvo spolu,2011,"203,5"
Muži,Hospodárstvo spolu,2012,"203,8"
Muži,Hospodárstvo spolu,2013,"210,4"
Muži,Hospodárstvo spolu,2014,"193,6"
Muži,Hospodárstvo spolu,2015,"155,4"
Muži,Hospodárstvo spolu,2016,"132,5"
Muži,Hospodárstvo spolu,2017,"118,8"
Muži,Hospodárstvo spolu,2018,"92,4"
Muži,Hospodárstvo spolu,2019,"83,9"
Muži,Hospodárstvo spolu,2020,"94,5"
Muži,I Ubytovacie a stravovacie služby,2008,"1,8"
Muži,I Ubytovacie a stravovacie služby,2009,"3,6"
Muži,I Ubytovacie a stravovacie služby,2010,"4,7"
Muži,I Ubytovacie a stravovacie služby,2011,"5,4"
Muži,I Ubytovacie a stravovacie služby,2012,"4,6"
Muži,I Ubytovacie a stravovacie služby,2013,"4,1"
Muži,I Ubytovacie a stravovacie služby,2014,"4,0"
Muži,I Ubytovacie a stravovacie služby,2015,"3,4"
Muži,I Ubytovacie a stravovacie služby,2016,"3,0"
Muži,I Ubytovacie a stravovacie služby,2017,"2,2"
Muži,I Ubytovacie a stravovacie služby,2018,"2,3"
Muži,I Ubytovacie a stravovacie služby,2019,"2,7"
Muži,I Ubytovacie a stravovacie služby,2020,"4,6"
Muži,I Ubytovacie a stravovacie služby,2021,"6,6"
Muži,I Ubytovacie a stravovacie služby,2022,"1,9"
Muži,I Ubytovacie a stravovacie služby,2023,"2,3"
Muži,I Ubytovacie a stravovacie služby,2024,"1,9"
Muži,I Ubytovacie a stravovacie služby,2025,"2,8"
Muži,J Informácie a komunikácia,2008,"0,5"
Muži,J Informácie a komunikácia,2009,"0,7"
Muži,J Informácie a komunikácia,2010,"1,6"
Muži,J Informácie a komunikácia,2011,"0,8"
Muži,J Informácie a komunikácia,2012,"1,7"
Muži,J Informácie a komunikácia,2013,"1,4"
Muži,J Informácie a komunikácia,2014,"1,7"
Muži,J Informácie a komunikácia,2015,"1,2"
Muži,J Informácie a komunikácia,2016,"2,1"
Muži,J Informácie a komunikácia,2017,"1,9"
Muži,J Informácie a komunikácia,2018,"1,1"
Muži,J Informácie a komunikácia,2019,"1,0"
Muži,J Informácie a komunikácia,2020,"0,6"
